Location,Transmission,Mileage,Engine,Power,Seats,Price,Brand_Name,Car_Age
5.75,Manual,26.6,998,58.16,5,1.75,0.201196212,11
4.25,Manual,19.67,1582,126.2,5,12.5,0.183917594,6
4.5,Manual,18.2,1199,88.7,5,4.5,0.101013457,10
4.5,Manual,20.77,1248,88.76,7,6,0.201196212,9
8.305,Automatic,15.2,1968,140.8,5,17.74,0.039209171,8
5.8,Manual,21.1,814,55.2,5,2.35,0.183917594,9
4.25,Manual,23.08,1461,63.1,5,3.5,0.01511879,8
5.75,Automatic,11.36,2755,171.5,8,17.5,0.068283768,5
4.25,Manual,20.54,1598,103.6,5,5.2,0.052334275,8
4.5,Manual,22.3,1248,74,5,1.95,0.030902143,9
6.71,Manual,21.56,1462,103.25,5,9.95,0.201196212,3
3.75,Automatic,16.8,1497,116.3,5,4.49,0.101013457,9
4.25,Manual,25.2,1248,74,5,5.6,0.201196212,6
5.5,Automatic,12.7,2179,187.7,5,27,0.009968433,7
4.25,Automatic,17,2179,115,5,17.5,0.009968433,9
5.5,Manual,13.5,2477,175.56,7,15,0.004485795,7
6.71,Manual,25.8,1498,98.6,5,5.4,0.101013457,5
4.25,Manual,28.4,1248,74,5,5.99,0.201196212,4
6.71,Manual,20.45,1461,83.8,5,6.34,0.02409038,7
6.85,Automatic,14.84,2143,167.62,5,28,0.052832696,7
6.71,Automatic,22.69,1995,190,5,18.55,0.044359528,7
6.85,Manual,23.65,1248,88.5,5,8.25,0.201196212,6
5.75,Automatic,13.53,1984,177.01,5,23.5,0.039209171,6
3.75,Manual,18.5,1197,80,5,1.87,0.183917594,11
3.75,Automatic,14.4,1598,103.6,5,2.85,0.052334275,11
5.75,Manual,16.8,1497,116.3,5,4.25,0.101013457,9
5.8,Manual,23.08,1461,63.1,5,4.25,0.01511879,9
5.8,Manual,20.92,998,67.1,5,2.75,0.201196212,8
6.71,Manual,17.5,1199,88.7,5,9.9,0.101013457,3
5.75,Manual,12.8,2494,102,7,4,0.068283768,14
6.85,Manual,19.01,1461,108.45,5,7.75,0.02409038,8
5.5,Manual,14.53,1798,138.1,5,6.75,0.068283768,9
6.85,Automatic,11.18,2696,184,7,12.5,0.045190231,8
3.75,Automatic,12.4,2698,179.5,5,11.5,0.039209171,11
8.305,Manual,16.09,1598,103.5,5,6.98,0.052334275,7
4.25,Manual,14,1061,64,5,1.85,0.201196212,12
6.71,Manual,24.3,1248,88.5,5,8.63,0.201196212,3
5.5,Manual,18.15,1198,82,5,4.85,0.045190231,4
4.25,Automatic,11.74,2987,254.8,5,28,0.052832696,8
4.5,Manual,22.07,1199,73.9,5,5,0.052334275,8
5.5,Manual,19.7,796,46.3,5,1.25,0.201196212,13
